Brand,WaterProof,Gender,TimeDisplay,Chronograph,Rating,Price
Michael Kors,100.0,0,1,1,0,298.0
Michael Kors,50.0,0,1,0,3,298.0
Michael Kors,50.0,0,1,0,1,298.0
Citizen,50.0,1,1,0,0,499.0
Michael Kors,100.0,0,1,0,0,299.0
Michael Kors,100.0,1,1,0,0,299.0
Rado,30.0,1,1,0,0,5900.0
Cluse,30.0,0,1,0,0,308.0
Tommy Hilfiger,30.0,1,1,1,0,313.0
Michael Kors,100.0,0,1,1,0,314.0
Michael Kors,0.0,1,1,1,0,315.0
Michael Kors,50.0,1,1,1,0,316.0
Calvin Klein,30.0,0,1,0,0,318.0
Pierre Richardson,30.0,1,1,0,0,619.0
OBAKU,30.0,0,1,0,0,319.0
Calvin Klein,30.0,0,1,0,0,319.0
Michael Kors,50.0,0,1,0,0,321.0
Michael Kors,30.0,0,1,0,0,324.0
Hugo Boss,50.0,1,1,1,0,427.0
Citizen,50.0,1,1,0,0,429.0
Hugo Boss,50.0,1,1,1,0,329.0
Emporio Armani,50.0,1,1,1,0,330.0
Tommy Hilfiger,30.0,0,1,1,0,330.0
Michael Kors,50.0,0,1,1,0,330.0
Hugo Boss,50.0,1,1,1,0,337.0
Tommy Hilfiger,50.0,1,1,0,0,338.0
Michael Kors,100.0,1,1,1,0,339.0
Michael Kors,50.0,1,1,1,0,339.0
Casio,200.0,1,0,0,9,339.0
Certina,300.0,1,1,0,0,2640.0
Hugo Boss,50.0,1,1,1,0,340.0
Hugo Boss,50.0,1,1,1,0,342.0
Casio,50.0,0,1,0,0,344.0
Casio,200.0,1,0,1,1,344.0
Hugo Boss,30.0,1,1,0,0,345.0
Emporio Armani,30.0,1,1,0,0,345.0
Tommy Hilfiger,50.0,1,1,1,0,345.0
Tommy Hilfiger,50.0,1,1,0,0,347.0
Emporio Armani,0.0,1,1,0,0,349.0
Tommy Hilfiger,50.0,1,1,1,0,349.0
Emporio Armani,50.0,0,1,0,0,349.0
Cluse,30.0,0,1,0,0,350.0
Emporio Armani,50.0,1,1,0,0,350.0
Emporio Armani,60.0,1,1,0,0,350.0
Casio,200.0,1,0,0,0,350.0
Emporio Armani,50.0,1,1,1,0,357.0
Hugo Boss,50.0,1,1,1,0,358.0
Hugo Boss,50.0,1,1,1,0,360.0
Cluse,30.0,0,1,0,0,363.0
Emporio Armani,50.0,1,1,1,0,363.0
Hugo Boss,50.0,1,1,1,0,365.0
Michael Kors,50.0,0,1,0,0,368.0
Casio,200.0,1,2,0,1,368.0
Tommy Hilfiger,30.0,0,1,1,0,368.0
Emporio Armani,100.0,1,1,1,0,369.0
Cluse,30.0,0,1,0,0,369.0
Hugo Boss,50.0,1,1,0,1,369.0
OBAKU,30.0,0,1,0,0,369.0
Hugo Boss,50.0,1,1,1,0,369.0
Bering,30.0,0,1,0,0,369.0
Emporio Armani,30.0,0,1,0,0,373.0
Casio,200.0,1,2,1,0,474.0
Hugo Boss,50.0,1,1,1,0,374.0
Tommy Hilfiger,30.0,0,1,1,0,375.0
Emporio Armani,50.0,1,1,1,0,375.0
Casio,200.0,1,2,0,0,375.0
Hugo Boss,30.0,1,1,0,0,376.0
Hugo Boss,30.0,1,1,0,0,377.0
Hugo Boss,30.0,1,1,1,0,377.0
Hugo Boss,100.0,1,1,1,0,377.0
Hugo Boss,50.0,1,1,1,0,378.0
Hugo Boss,50.0,1,1,1,0,379.0
Tommy Hilfiger,50.0,1,1,0,0,379.0
Tommy Hilfiger,30.0,0,1,1,0,379.0
Casio,200.0,1,2,0,0,379.0
Hugo Boss,100.0,1,1,1,0,379.0
